ev0000003, AMPAS, Academy Awards, 奥斯卡
ev0000349, ISA, Independent Spirit Awards, 美国电影独立精神奖
ev0000175, CAS, Cinema Audio Society Awards, 美国声音效果协会奖
ev0000123, BAFTA, British Academy of Film and Television Arts, 英国电影学院奖
ev0000022, ASC, American Society of Cinematographers, 美国摄影协会奖
ev0000864, VES, Visual Effects Society, 视觉效果协会奖
ev0000710, WGA, Writers Guild of America Awards, 编剧工会奖
ev0000212, DGA, Directors Guild of America Awards, 导演工会奖
ev0000032, AA, Annie Awards, 美国动画安妮奖
ev0000618, ADG, Art Directors Guild Awards, 美国艺术指导工会奖
ev0000017, ACE, American Cinema Editors Awards, 剪辑工会奖
ev0000598, SAG, Screen Actors Guild Awards, 演员工会奖
ev0000531, PGA, Producers Guild Awards, 制片人工会奖
ev0000133, CCA, Critics’ Choice Awards, 评论家选择奖
ev0000292, GG, Golden Globe Awards, 金球奖
ev0000471, NSFCA, National Society of Film Critics Awards, 国家影评人协会奖
ev0000112, BSFCA, Boston Society of Film Critics Awards, 波士顿影评人协会奖
ev0000127, BIFA, British Independent Film Awards, 英国独立电影奖
ev0001400, WAFCA, Washington DC Area Film Critics Awards, 华盛顿影评人协会奖
ev0000407, LAFCA, Los Angeles Film Critics Association, 洛杉矶影评人协会奖
ev0000484, NYFCCA, New York Film Critics Circle Awards, 纽约影评人协会奖
ev0000464, NBR, National Board of Review, 美国国家评论奖
ev0000298, GIFA, Gotham Independent Film Awards, 哥谭独立电影奖